event_before,grade_before,url_before,latitude_before,longitude_before,phylum_before,subphylum_before,class_before,subclass_before,order_before,suborder_before,family_before,subfamily_before,supertribe_before,tribe_before,subtribe_before,genus_before,species_before,event_after,updated_after,grade_after,url_after,latitude_after,longitude_after,phylum_after,subphylum_after,class_after,subclass_after,order_after,suborder_after,family_after,subfamily_after,supertribe_after,tribe_after,subtribe_after,genus_after,species_after
before,needs_id,https://www.inaturalist.org/observations/180585254,-30.12869049,115.1557054,Tracheophyta,Angiospermae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,after,2024-02-12,needs_id,https://www.inaturalist.org/observations/180585254,-30.12869049,115.1557054,Tracheophyta,Angiospermae,Magnoliopsida,NA,Proteales,NA,Proteaceae,Proteoideae,NA,Petrophileae,NA,Petrophile,Petrophile biternata
before,needs_id,https://www.inaturalist.org/observations/185895803,-30.16571117,115.200355,Tracheophyta,Angiospermae,Magnoliopsida,NA,Proteales,NA,Proteaceae,Grevilleoideae,NA,Banksieae,Banksiinae,Banksia,NA,after,2024-02-12,needs_id,https://www.inaturalist.org/observations/185895803,-30.16571117,115.200355,Tracheophyta,Angiospermae,Magnoliopsida,NA,Proteales,NA,Proteaceae,Grevilleoideae,NA,Banksieae,Banksiinae,Banksia,Banksia tricuspis
before,research,https://www.inaturalist.org/observations/186967645,-30.1657945,115.0224695,Tracheophyta,Angiospermae,Magnoliopsida,NA,Asterales,NA,Stylidiaceae,NA,NA,NA,NA,Stylidium,Stylidium affine,after,2024-02-12,needs_id,https://www.inaturalist.org/observations/186967645,-30.1657945,115.0224695,Tracheophyta,Angiospermae,Magnoliopsida,NA,Asterales,NA,Stylidiaceae,NA,NA,NA,NA,Stylidium,NA
before,needs_id,https://www.inaturalist.org/observations/18753632,-30.16250709,115.1598028,Tracheophyta,Angiospermae,Magnoliopsida,NA,Proteales,NA,Proteaceae,Grevilleoideae,NA,Embothrieae,Hakeinae,Hakea,NA,after,2024-02-12,research,https://www.inaturalist.org/observations/18753632,-30.16250709,115.1598028,Tracheophyta,Angiospermae,Magnoliopsida,NA,Proteales,NA,Proteaceae,Grevilleoideae,NA,Embothrieae,Hakeinae,Hakea,Hakea neurophylla
before,needs_id,https://www.inaturalist.org/observations/18753690,-30.16250709,115.1598028,Tracheophyta,Angiospermae,Magnoliopsida,NA,Proteales,NA,Proteaceae,Grevilleoideae,NA,Banksieae,Banksiinae,Banksia,NA,after,2024-02-12,research,https://www.inaturalist.org/observations/18753690,-30.16250709,115.1598028,Tracheophyta,Angiospermae,Magnoliopsida,NA,Proteales,NA,Proteaceae,Grevilleoideae,NA,Banksieae,Banksiinae,Banksia,Banksia tricuspis
before,needs_id,https://www.inaturalist.org/observations/188075626,-30.06829604,114.964676,Tracheophyta,Angiospermae,Magnoliopsida,NA,Dilleniales,NA,Dilleniaceae,NA,NA,NA,NA,Hibbertia,Hibbertia hypericoides,after,2024-02-12,research,https://www.inaturalist.org/observations/188075626,-30.06829604,114.964676,Tracheophyta,Angiospermae,Magnoliopsida,NA,Dilleniales,NA,Dilleniaceae,NA,NA,NA,NA,Hibbertia,Hibbertia leptotheca
before,needs_id,https://www.inaturalist.org/observations/193491960,-30.13357309,115.1501029,Tracheophyta,Angiospermae,Magnoliopsida,NA,Proteales,NA,Proteaceae,Grevilleoideae,NA,Embothrieae,Hakeinae,Grevillea,Grevillea acrobotrya,after,2024-02-12,needs_id,https://www.inaturalist.org/observations/193491960,-30.13357309,115.1501029,Tracheophyta,Angiospermae,Magnoliopsida,NA,Proteales,NA,Proteaceae,Grevilleoideae,NA,Embothrieae,Hakeinae,Grevillea,NA
before,needs_id,https://www.inaturalist.org/observations/193584414,-30.13464016,115.1492124,Tracheophyta,Angiospermae,Magnoliopsida,NA,Proteales,NA,Proteaceae,Grevilleoideae,NA,Embothrieae,Hakeinae,Grevillea,Grevillea acrobotrya,after,2024-02-12,needs_id,https://www.inaturalist.org/observations/193584414,-30.13464016,115.1492124,Tracheophyta,Angiospermae,Magnoliopsida,NA,Proteales,NA,Proteaceae,Grevilleoideae,NA,Embothrieae,Hakeinae,Grevillea,NA
before,needs_id,https://www.inaturalist.org/observations/197917947,-30.16576117,115.1972883,Tracheophyta,Angiospermae,Magnoliopsida,NA,Asterales,NA,Stylidiaceae,NA,NA,NA,NA,Stylidium,NA,after,2024-02-12,research,https://www.inaturalist.org/observations/197917947,-30.16576117,115.1972883,Tracheophyta,Angiospermae,Magnoliopsida,NA,Asterales,NA,Stylidiaceae,NA,NA,NA,NA,Stylidium,Stylidium inversiflorum
before,needs_id,https://www.inaturalist.org/observations/31111505,-30.16149725,115.2011744,Tracheophyta,Angiospermae,Magnoliopsida,NA,Proteales,NA,Proteaceae,Grevilleoideae,NA,Banksieae,Banksiinae,Banksia,NA,after,2024-02-12,research,https://www.inaturalist.org/observations/31111505,-30.16149725,115.2011744,Tracheophyta,Angiospermae,Magnoliopsida,NA,Proteales,NA,Proteaceae,Grevilleoideae,NA,Banksieae,Banksiinae,Banksia,Banksia tricuspis
before,needs_id,https://www.inaturalist.org/observations/37547096,-30.1716108,115.1536305,Tracheophyta,Angiospermae,Magnoliopsida,NA,Malvales,NA,Thymelaeaceae,NA,NA,NA,NA,Pimelea,NA,after,2024-02-12,needs_id,https://www.inaturalist.org/observations/37547096,-30.1716108,115.1536305,Tracheophyta,Angiospermae,Magnoliopsida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
before,needs_id,https://www.inaturalist.org/observations/58682944,-30.16519976,115.1994499,Tracheophyta,Angiospermae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,after,2024-02-12,needs_id,https://www.inaturalist.org/observations/58682944,-30.16519976,115.1994499,Tracheophyta,Angiospermae,Magnoliopsida,NA,Ericales,NA,Ericaceae,Epacridoideae,NA,Styphelieae,NA,Leucopogon,Leucopogon plumuliferus
before,needs_id,https://www.inaturalist.org/observations/61545031,-30.17324167,115.2009611,Tracheophyta,Angiospermae,Magnoliopsida,NA,Proteales,NA,Proteaceae,Grevilleoideae,NA,Embothrieae,Hakeinae,Hakea,NA,after,2024-02-12,research,https://www.inaturalist.org/observations/61545031,-30.17324167,115.2009611,Tracheophyta,Angiospermae,Magnoliopsida,NA,Proteales,NA,Proteaceae,Grevilleoideae,NA,Embothrieae,Hakeinae,Hakea,Hakea neurophylla
before,needs_id,https://www.inaturalist.org/observations/62030242,-30.13789584,115.150566,Tracheophyta,Angiospermae,Magnoliopsida,NA,Proteales,NA,Proteaceae,Grevilleoideae,NA,Embothrieae,Hakeinae,Grevillea,NA,after,2024-02-12,research,https://www.inaturalist.org/observations/62030242,-30.13789584,115.150566,Tracheophyta,Angiospermae,Magnoliopsida,NA,Proteales,NA,Proteaceae,Grevilleoideae,NA,Embothrieae,Hakeinae,Grevillea,Grevillea uniformis
before,needs_id,https://www.inaturalist.org/observations/62107915,-30.16098333,115.20255,Tracheophyta,Angiospermae,Magnoliopsida,NA,Dilleniales,NA,Dilleniaceae,NA,NA,NA,NA,Hibbertia,NA,after,2024-02-12,research,https://www.inaturalist.org/observations/62107915,-30.16098333,115.20255,Tracheophyta,Angiospermae,Magnoliopsida,NA,Dilleniales,NA,Dilleniaceae,NA,NA,NA,NA,Hibbertia,Hibbertia subglabra
before,needs_id,https://www.inaturalist.org/observations/62107940,-30.17425167,115.2006133,Tracheophyta,Angiospermae,Magnoliopsida,NA,Proteales,NA,Proteaceae,Grevilleoideae,NA,Embothrieae,Hakeinae,Hakea,NA,after,2024-02-12,needs_id,https://www.inaturalist.org/observations/62107940,-30.17425167,115.2006133,Tracheophyta,Angiospermae,Magnoliopsida,NA,Proteales,NA,Proteaceae,Grevilleoideae,NA,Embothrieae,Hakeinae,Hakea,Hakea neurophylla
before,needs_id,https://www.inaturalist.org/observations/91937986,-30.16335577,115.2022456,Tracheophyta,Angiospermae,Magnoliopsida,NA,Proteales,NA,Proteaceae,Grevilleoideae,NA,Embothrieae,Hakeinae,Grevillea,Grevillea acrobotrya,after,2024-02-12,research,https://www.inaturalist.org/observations/91937986,-30.16335577,115.2022456,Tracheophyta,Angiospermae,Magnoliopsida,NA,Proteales,NA,Proteaceae,Grevilleoideae,NA,Embothrieae,Hakeinae,Grevillea,Grevillea uniformis
before,needs_id,https://www.inaturalist.org/observations/93836356,-30.18692999,115.0952328,Tracheophyta,Angiospermae,Magnoliopsida,NA,Asterales,NA,Stylidiaceae,NA,NA,NA,NA,Stylidium,NA,after,2024-02-12,research,https://www.inaturalist.org/observations/93836356,-30.18692999,115.0952328,Tracheophyta,Angiospermae,Magnoliopsida,NA,Asterales,NA,Stylidiaceae,NA,NA,NA,NA,Stylidium,Stylidium periscelianthum
before,needs_id,https://www.inaturalist.org/observations/94525202,-30.15995164,115.2030276,Tracheophyta,Angiospermae,Magnoliopsida,NA,Proteales,NA,Proteaceae,Grevilleoideae,NA,Embothrieae,Hakeinae,Hakea,NA,after,2024-02-12,needs_id,https://www.inaturalist.org/observations/94525202,-30.15995164,115.2030276,Tracheophyta,Angiospermae,Magnoliopsida,NA,Proteales,NA,Proteaceae,Grevilleoideae,NA,Embothrieae,Hakeinae,Grevillea,Grevillea uniformis
